location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Mitte), Stuttgart;2020-01-06 18:28:24 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:29:58 +0100;135;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:32:05 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:34:57 +0100;130;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:39:53 +0100;101;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:41:54 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:44:45 +0100;139;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:49:55 +0100;103;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:54:57 +0100;100;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:56:22 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:59:54 +0100;91;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 19:02:58 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 19:04:54 +0100;114;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 19:09:39 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 19:09:51 +0100;121;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 19:14:54 +0100;100;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 19:18:27 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 19:19:47 +0100;98;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 19:24:59 +0100;98;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 19:29:35 +0100;1;regular;""
